word,stress pattern,frequency,word type
Zinseszins,100,0,04,Content
Klient,01,6,02,Content
charakterisieren,000010,0,2,Content
Moll,1,0,67,Content
Fahrenheit,100,0,28,Content
schreiben,10,103,27,Content
Totgeburt,100,0,28,Content
gelehrig,010,0,04,Content
Hilfsarbeiter,1000,0,2,Content
entrollen,010,0,04,Content
seinetwillen,1010,0,31,Content
Ohrwurm,10,0,35,Content
schreckhaft,10,0,39,Content
Doppelzimmer,1000,1,14,Content
Scheidungsurteil,1000,0,2,Content
Zwischenraum,100,0,08,Content
keimfrei,10,0,04,Content
kaltstellen,100,0,08,Content
Erweckung,010,0,16,Content
allerseits,101,5,08,Content
runterfallen,1000,1,46,Content
flachsen,10,0,12,Content
Stimmung,10,21,73,Content
ruhen,10,15,91,Content
beisteuern,100,0,75,Content
meinetwillen,1010,0,35,Content
Nimmersatt,100,0,04,Content
verdampfen,010,0,94,Content
vorspielen,100,1,97,Content
Ausrede,100,9,37,Content
Salve,10,1,69,Content
Geburtsurkunde,01000,2,4,Content
Schiffahrt,10,0,04,Content
Gyroskop,001,0,08,Content
Salzsteuer,100,0,04,Content
Test,1,46,22,Content
fluchtartig,100,0,2,Content
vorbehalten,1000,0,83,Content
feuchten,10,2,2,Content
unsrige,100,0,16,Function
Insolvenz,100,0,04,Content
unrasiert,100,0,24,Content
beackern,010,0,16,Content
stutzen,10,0,51,Content
dahinfahren,0100,0,2,Content
anfachen,100,0,24,Content
Partnerschaft,100,3,86,Content
Mangelware,1000,0,12,Content
kognitiv,001,0,04,Content
Pampa,10,0,75,Content
Thai,1,2,24,Content
biegsam,10,0,67,Content
Bestechung,010,3,31,Content
Luftblase,100,0,94,Content
vortrefflich,010,0,63,Content
Imagination,000001,0,08,Content
entlassen,010,29,61,Content
Gemunkel,010,0,04,Content
involvieren,0010,0,16,Content
niederholen,1000,0,04,Content
Rechthaberei,0001,0,04,Content
Schlauberger,100,0,71,Content
Spirit,10,0,79,Content
herzig,10,0,12,Content
Sopranist,001,0,04,Content
explizit,001,0,24,Content
knackig,10,1,18,Content
Freidenker,100,0,12,Content
einerlei,101,1,06,Function
Skrupel,10,1,22,Content
vermachen,010,0,71,Content
ausbremsen,100,0,12,Content
Schenkelknochen,1000,0,04,Content
speien,10,0,24,Content
hartherzig,100,0,2,Content
matriarchalisch,00010,0,08,Content
steppen,10,0,71,Content
aufpicken,100,0,08,Content
Verworfenheit,0100,0,08,Content
Tendenz,01,1,06,Content
faktisch,10,0,08,Content
Etablissement,00001,0,94,Content
absehen,100,0,79,Content
Panzerschrank,100,0,2,Content
Porree,10,0,12,Content
Beduine,0010,0,12,Content
Hochwasser,100,0,35,Content
Anhaltspunkt,100,2,83,Content
Herde,10,5,63,Content
schandbar,10,0,04,Content
Schwarzarbeit,100,0,16,Content
zuviel,01,25,95,Function
hinnehmen,100,4,21,Content
Felge,10,0,16,Content
Nachtisch,10,6,46,Content
Salbe,10,1,46,Content
Gau,1,0,08,Content
totschlagen,100,0,79,Content
Heimfahrt,10,1,22,Content
zerstampfen,010,0,04,Content
aufbrechen,100,9,8,Content
anregen,100,0,55,Content
kaltherzig,100,0,51,Content
Waffe,10,174,57,Content
per,1,19,73,Function
Gleichgewicht,100,7,28,Content
betrachten,010,16,06,Content
signifikant,0001,0,24,Content
zudecken,100,0,94,Content
Religionsunterricht,0001000,0,16,Content
fortbringen,100,0,43,Content
zusammenbringen,01000,1,97,Content
Inkompetenz,1000,1,3,Content
Privatisierung,00010,0,08,Content
Gefahr,01,78,19,Content
riskant,01,9,53,Content
zumute,010,2,17,Content
erzeugen,010,7,52,Content
unbekleidet,1000,0,28,Content
Haus,1,406,43,Content
Rokoko,100,0,12,Content
hier,1,5060,71,Content
hochfahren,100,1,5,Content
Kammerherr,100,0,12,Content
vertraglich,010,0,55,Content
Speckseite,100,0,04,Content
Radar,01,9,09,Content
Filzstift,10,0,63,Content
atonal,100,0,08,Content
ableugnen,100,0,04,Content
Hieb,1,1,93,Content
verketten,010,0,04,Content
Irrtum,10,12,17,Content
knauserig,100,0,59,Content
Fremdsprache,100,2,87,Content
Seebeben,100,0,08,Content
Kraftfahrzeug,100,0,04,Content
Schiedsgericht,100,0,24,Content
Wirtschaft,10,5,95,Content
Hausbesitzer,1000,0,43,Content
Intoleranz,1000,0,43,Content
liquidieren,0010,0,75,Content
Wanne,10,6,34,Content
umschwenken,100,0,2,Content
feststellen,100,8,11,Content
mithelfen,100,1,61,Content
zufrieden,010,51,14,Content
Unsinnigkeit,1000,0,04,Content
Pelikan,100,0,75,Content
monatlich,100,0,98,Content
Ascher,10,0,28,Content
toben,10,1,85,Content
durchweg,10,0,47,Content
aufkaufen,100,0,43,Content
Heidentum,100,0,08,Content
rot,1,40,04,Content
durchsetzen,010,2,05,Content
Gaze,10,0,47,Content
Baufirma,100,0,59,Content
Grapefruit,10,0,71,Content
vorangehen,0100,0,51,Content
weichlich,10,0,2,Content
Oberstaatsanwalt,00100,0,59,Content
Verschalung,010,0,08,Content
Schnurrbart,10,4,96,Content
Autobahn,100,6,69,Content
Neutrino,010,0,04,Content
Ottomane,0010,0,04,Content
Scharfblick,10,0,08,Content
Schussweite,100,2,05,Content
Abspaltung,100,0,35,Content
zubekommen,1000,0,08,Content
vorbestraft,100,1,89,Content
Weihnachtslied,100,0,39,Content
entheben,010,0,79,Content
Astronautik,0010,0,04,Content
einigen,100,37,48,Content
Abschreibung,100,0,16,Content
patrouillieren,0010,0,71,Content
Darmkatarrh,100,0,04,Content
Suchaktion,1000,0,55,Content
Schweinebraten,1000,0,2,Content
Wunschzettel,100,0,24,Content
entgegensetzen,01000,0,12,Content
Drittel,10,6,34,Content
geben,10,529,43,Content
teilhaftig,100,0,08,Content
Verkehrsampel,0100,0,04,Content
raus,1,646,32,Content
Fragebogen,1000,0,91,Content
Taste,10,2,83,Content
bitterkalt,100,0,31,Content
Leitungsnetz,100,0,08,Content
Waggon,01,1,5,Content
bespitzeln,010,0,55,Content
Morgenandacht,1000,0,04,Content
Trecker,10,0,12,Content
Thron,1,7,8,Content
Photograph,001,0,24,Content
unvollkommen,1000,0,31,Content
andocken,100,1,34,Content
Lebensende,1000,3,86,Content
Streikende,100,0,2,Content
Baumaterial,10000,0,39,Content
ausspritzen,100,0,04,Content
phallisch,10,0,08,Content
beimischen,100,0,08,Content
hergeben,100,3,19,Content
riesig,10,14,8,Content
Zentralverwaltung,01000,0,08,Content
vermummen,010,0,04,Content
nennenswert,100,0,04,Content
Miesepeter,1000,0,75,Content
Fettgehalt,100,0,04,Content
hinweg,01,14,8,Content
Scherge,10,0,08,Content
quasi,10,8,54,Content
Spachtel,10,0,24,Content
Anmeldung,100,1,54,Content
Mastvieh,10,0,04,Content
treuherzig,100,0,04,Content
abwehren,100,1,61,Content
verbluten,010,2,01,Content
Augenfarbe,1000,0,63,Content
bestanden,010,11,54,Content
Landluft,10,0,16,Content
verdeutlichen,0100,1,06,Content
Neubeginn,100,0,51,Content
Kalbsschnitzel,100,0,2,Content
abmurksen,100,0,47,Content
behaupten,010,20,39,Content
Gutschrift,10,0,04,Content
Totenfest,100,0,04,Content
gleichsetzen,100,0,16,Content
essentiell,0001,0,12,Content
Aufgebot,100,0,67,Content
pleite,10,17,95,Content
enden,10,36,26,Content
Schutzscheibe,100,0,04,Content
schleimig,10,0,87,Content
mitmachen,100,19,53,Content
Allegorie,0001,0,12,Content
Hanf,1,0,79,Content
Wucherung,100,0,04,Content
Autodidakt,0001,0,04,Content
Bewilligung,0100,0,35,Content
Palm,1,3,35,Content
Nocken,10,0,08,Content
korrumpieren,0010,0,39,Content
Rade,10,0,04,Content
einschlafen,100,7,99,Content
Vorleben,100,0,2,Content
mitten,10,48,62,Content
Kiefer,10,5,79,Content
Krankenzimmer,1000,1,06,Content
Tennis,10,4,96,Content
Charakteristik,00010,0,04,Content
antanzen,100,0,67,Content
Schalthebel,100,0,24,Content
Wachmannschaft,100,0,04,Content
Gabe,10,17,17,Content
Mission,001,55,63,Content
Gegenliebe,1000,0,08,Content
Marder,10,0,12,Content
Argument,001,9,53,Content
nachbilden,100,0,28,Content
Entsetzensschrei,0100,0,2,Content
Untersatz,100,0,2,Content
Antifaschist,0010,0,08,Content
Henkersmahlzeit,1000,0,51,Content
Strolch,1,0,79,Content
strengstens,10,0,63,Content
Fes,1,0,16,Content
Pressefotograf,10000,0,12,Content
ranzig,10,0,28,Content
Vereinfachung,0100,0,12,Content
Klassenkampf,100,0,04,Content
pudelnass,101,0,08,Content
Urteilsspruch,100,0,16,Content
Viskose,010,0,04,Content
beredt,01,0,35,Content
Reichtum,10,7,99,Content
versenden,010,0,79,Content
verborgen,010,5,43,Content
Empfehlungsschreiben,01000,1,42,Content
Vielseitigkeit,1000,0,12,Content
Bantu,10,0,16,Content
schludrig,10,0,04,Content
Strafverfahren,1000,0,2,Content
schmackhaft,10,0,71,Content
gesellen,010,1,69,Content
Schlaftrunk,10,0,08,Content
Requisit,001,0,2,Content
haarscharf,10,0,71,Content
Krieg,1,201,46,Content
mutig,10,16,3,Content
Bummel,10,0,28,Content
zustecken,100,0,16,Content
abgeleiert,1000,0,04,Content
loslassen,100,19,17,Content
phantasieren,0010,0,08,Content
durchsegeln,010,0,08,Content
kloppen,10,0,24,Content
Modernist,001,0,04,Content
ergeben,010,25,51,Content
losschicken,100,1,26,Content
herunterlassen,01000,0,04,Content
Valuta,010,0,04,Content
expropriieren,00010,0,04,Content
aushalten,100,11,1,Content
ehemalig,1000,0,16,Content
Schmelzung,10,0,08,Content
Milchbrei,10,0,04,Content
marode,010,0,08,Content
nagelneu,101,0,83,Content
Patengeschenk,1000,0,16,Content
Soldbuch,10,0,04,Content
zuschanden,010,0,12,Content
ankern,10,0,24,Content
Plage,10,4,37,Content
Kammerspiel,100,0,04,Content
Gefolgsmann,010,0,63,Content
loswerden,100,21,81,Content
derzeit,11,5,79,Content
Vertraulichkeit,0100,0,59,Content
nachmessen,100,0,08,Content
Beanstandung,0100,0,2,Content
Tragbahre,100,0,12,Content
beantragen,0100,2,13,Content
Schimmel,10,1,18,Content
Seeufer,100,0,08,Content
herzlich,10,13,39,Content
anthropozentrisch,00010,0,04,Content
ausrutschen,100,0,51,Content
Sie,1,22310,21,Function
Baugrube,100,0,04,Content
Gedankenlosigkeit,010000,0,24,Content
leeren,10,14,41,Content
