"number","title","pageid","namespace","length","touched"
"1","TA","5425","","1526","20161130172433"
"2","君","7085","","5283","20161130172433"
"3","千","7263","","6827","20161201150406"
"4","㐾","10138","","526","20161130172435"
"5","㑚","10176","","898","20161130172435"
"6","丌","10390","","813","20161130172435"
"7","乃","10441","","2448","20161130172436"
"8","之","10449","","3389","20161130172436"
"9","予","10508","","3097","20161130172436"
"10","亓","10518","","729","20161130172436"
"11","他","10599","","5691","20161201150406"
"12","伊","10651","","2527","20161201150406"
"13","伱","10716","","608","20161130172439"
"14","伲","10717","","1248","20161130172439"
"15","余","10814","","3704","20161130172439"
"16","你","10821","","2860","20161130172439"
"17","佢","10823","","1433","20161130172439"
"18","侬","10898","","348","20161130172439"
"19","俺","10978","","2935","20161130172444"
"20","偺","11146","","649","20161130172444"
"21","儂","11300","","6816","20161201150406"
"22","儞","11327","","779","20161130172446"
"23","其","11421","","5311","20161201150406"
"24","兹","11424","","643","20161130172446"
"25","几","11525","","2174","20161201150406"
"26","台","12077","","2950","20161130172453"
"27","吾","12168","","2847","20161201150406"
"28","咱","12297","","2456","20161130172453"
"29","哪","12354","","2017","20161130172453"
"30","啥","12492","","1421","20161130172455"
"31","嗰","12639","","682","20161130172455"
"32","夫","13508","","6999","20161201150411"
"33","奚","13555","","1175","20161130172511"
"34","女","13580","","12816","20161201150411"
"35","奴","13581","","3169","20161130172511"
"36","她","13586","","2481","20161130172511"
"37","妳","13644","","1358","20161130172514"
"38","孤","14091","","5906","20161201150411"
"39","孰","14103","","1454","20161130172517"
"40","它","14126","","2130","20161130172517"
"41","安","14132","","8024","20161201150411"
"42","家","14181","","6598","20161201150411"
"43","尒","14290","","863","20161130172517"
"44","尓","14291","","794","20161130172517"
"45","尔","14292","","987","20161130172517"
"46","己","14815","","3170","20161201150411"
"47","幾","14977","","6849","20161201150412"
"48","廼","15112","","971","20161130172531"
"49","弟","15158","","3403","20161201150412"
"50","当","15211","","1489","20161130172531"
"51","彼","15252","","5860","20161201150412"
"52","怎","15396","","1255","20161130172532"
"53","怹","15439","","595","20161130172537"
"54","您","15550","","2722","20161130172537"
"55","愚","15662","","2525","20161201150412"
"56","我","15916","","12645","20161201150412"
"57","或","15921","","3129","20161130172540"
"58","昝","16965","","705","20161130172552"
"59","朕","17239","","1960","20161201150413"
"60","查","17458","","2783","20161130172559"
"61","査","17485","","2642","20161130172559"
"62","样","17545","","722","20161130172559"
"63","様","17982","","6611","20161130172604"
"64","樣","18061","","4524","20161201150413"
"65","毎","18496","","1368","20161130172612"
"66","每","18497","","1843","20161201150413"
"67","汝","18636","","8318","20161201150413"
"68","渠","19156","","1591","20161130172620"
"69","爾","20299","","2394","20161130172633"
"70","牠","20339","","1048","20161130172634"
"71","玆","20646","","984","20161130172634"
"72","甚","21084","","2037","20161201150413"
"73","當","21177","","7195","20161201150413"
"74","祂","22215","","609","20161130172644"
"75","祢","22246","","2417","20161130172644"
"76","者","24092","","5037","20161201150415"
